Name,F1 Score 1,F1 Score 2,F1 Score 3
Ben Shneiderman,"Anna Smith: Visualization Expert, Human-Computer Interaction, Information Visualization & Visual Analytics, Peers: Card, Robertson, Dachselt, Irani.",0.10256410256410256,"Ben Adams: Visualization Expert, Information Visualization and Visual Analytics, Human-Computer Interaction, Similar Experts: Card, Robertson, Dachselt, Irani.",0.15000000000000002,"Marie Mueller is a member of the visualization community, specializing in information visualization and visual analytics, with a focus on human-computer interaction. She is well-regarded in her field, alongside other experts such as Stuart K. Card, George G. Robertson, Raimund Dachselt, and Pourang Irani.",0.39252336448598124
Fabian Beck,"Anna Smith: Visualization expert, information visualization and visual analytics researcher, software engineering contributor, colleague of Stephen G. Eick, Alexandru Telea, and James A. Jones.",0.3835616438356164,"Ben Adams: Visualization expert specializing in information visualization and visual analytics, with experience in software engineering. Colleagues include Stephen G. Eick, Alexandru Telea, and James A. Jones.",0.3684210526315789,"Marie Mueller is an active member of the visualization community who is an expert in information visualization and visual analytics. She has worked on software engineering and her research is similar to that of Stephen G. Eick, Alexandru Telea, and James A. Jones.",0.3913043478260869
Mary Jean Harrold,"Anna Smith is a visualization community member and expert in information visualization who has worked on software engineering. Her peers include Kenny Wong, Hausi A. Müller, Shing-Chi Cheung, Ian Gorton, and Steven P. Reiss.",0.3614457831325301,"Ben Adams: Visualization expert, information visualization, software engineering, similar to Kenny Wong, Hausi A. Müller, Shing-Chi Cheung, Ian Gorton, and Steven P. Reiss.",0.4166666666666667,"Marie Mueller is an active member of the visualization community with expertise in information visualization, software engineering, and related fields. Her research is often compared to that of Kenny Wong, Hausi A. Müller, Shing-Chi Cheung, Ian Gorton, and Steven P. Reiss.",0.3777777777777778
Stephan Diehl,"Anna Smith: Visualization Expert, Information Visualization & Software Engineering, Colleagues: James A. Jones, Steven P. Reiss, and Hausi A. Müller.",0.36363636363636365,"Ben Adams: Visualization specialist in info viz & software engineering. Similar experts: Jones, Reiss, & Müller.",0.06557377049180328,"Marie Mueller is a member of the visualization community with expertise in information visualization and software engineering. Her research interests are similar to those of James A. Jones, Steven P. Reiss, and Hausi A. Müller.",0.41463414634146345
Daniel Weiskopf,"Anna Smith: Visualization expert with experience in information visualization, visual analytics, computer graphics, bioinformatics, and software engineering. Collaborates with Quang Vinh Nguyen, Jarke J. van Wijk, Jonathan C. Roberts, Heidrun Schumann, and Mikael Jern.",0.40707964601769914,"Visualization expert Ben Adams; focuses on information visualization, visual analytics, scientific visualization, computer graphics, bioinformatics and software engineering; peer researchers include Nguyen, van Wijk, Roberts, Schumann, and Jern.",0.22429906542056072,"Marie Mueller is a prominent member of the visualization community. She is an expert in information visualization, visual analytics, and scientific visualization, and has worked on computer graphics, bioinformatics, and software engineering. Her research areas overlap with those of Quang Vinh Nguyen, Jarke J. van Wijk, Jonathan C. Roberts, Heidrun Schumann, and Mikael Jern.",0.48120300751879697
Michael Burch,"Anna Smith is an expert in information visualization and visual analytics, with experience in software engineering. She is part of the visualization community, alongside researchers like Andreas Kerren, David Auber, Jimmy Johansson, and Mikael Jern.",0.35051546391752575,"Ben Adams: Visualization expert, info visualization & visual analytics, software engineering, similar to Andreas Kerren, David Auber, Jimmy Johansson, & Mikael Jern.",0.21951219512195122,"Marie Mueller is a prominent member of the visualization community, specializing in information visualization and visual analytics. She has also worked in software engineering, and her research is similar to that of Andreas Kerren, David Auber, Jimmy Johansson, and Mikael Jern.",0.38834951456310673
James A. Jones,"Anna Smith is a visualization expert in information visualization and software engineering. She is part of the visualization community and has similar areas of expertise to Steven P. Reiss, Hausi A. Müller, and Kenny Wong.",0.425,"Ben Adams: Visualization expert, software engineer, pioneering information visualization researcher alongside Reiss, Müller, and Wong.",0.09999999999999999,"Marie Mueller is a member of the visualization community, specializing in information visualization, software engineering, and related topics. She is a renowned researcher in her field, often collaborating with peers such as Steven P. Reiss, Hausi A. Müller, and Kenny Wong.",0.37209302325581395
Catherine Plaisant,"Anna Smith: Visualization expert specializing in information visualization, visual analytics and human-computer interaction. Co-researcher alongside George G. Robertson, Stuart K. Card, and Pierre Dragicevic.",0.32,"Ben Adams: Visualization expert specializing in information visualization and visual analytics, focusing on human-computer interaction. Similar researchers include George G. Robertson, Stuart K. Card, and Pierre Dragicevic.",0.358974358974359,"Marie Mueller is a prominent member of the visualization community, specializing in information visualization and visual analytics. She has also done extensive research in the area of human-computer interaction, and her work has been compared to that of George G. Robertson, Stuart K. Card, and Pierre Dragicevic.",0.4489795918367347
Benjamin B. Bederson,"Anna Smith: Visualization specialist, HCI/DL/Robotics/Vision/Software Eng, Reiterer/Hornbæk/Butz peer.",0,"Ben Adams: Visualization expert, HCI, DLs, robotics, vision, SE, Reiterer, Hornbæk, Butz.",0.06153846153846154,"Marie Mueller is a prominent member of the visualization community with expertise in information visualization and visual analytics. She has worked on a variety of topics, such as human-computer interaction, digital libraries, robotics, vision, and software engineering. Marie Mueller shares her expertise with other leading researchers in her field, such as Harald Reiterer, Kasper Hornbæk, and Andreas Butz.",0.4144144144144144
Stuart K. Card,"Anna Smith: Visualization expert specializing in information visualization and visual analytics with focus on human-computer interaction and computer graphics. Colleagues include Pierre Dragicevic, Ben Shneiderman, Achim Ebert, Pourang Irani, and Stéphane Conversy.",0.4470588235294118,"Ben Adams: Visualization expert specializing in information visualization and visual analytics, with a focus on human-computer interaction and computer graphics. Similar to Pierre Dragicevic, Ben Shneiderman, Achim Ebert, Pourang Irani, and Stéphane Conversy.",0.441860465116279,"Marie Mueller is a prominent member of the visualization community, with expertise in information visualization and visual analytics, as well as human-computer interaction and computer graphics. Her research is similar to that of other renowned researchers in the field, such as Pierre Dragicevic, Ben Shneiderman, Achim Ebert, Pourang Irani, and Stéphane Conversy.",0.45714285714285713
